CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
22904,ARIOGAN 2,BURIAL CAIRN (PREHISTORIC),ARGYLL,NM 85604 27316,185604.0,727316.0,https://canmore.org.uk/site/22904/,cairn
22910,KILMORE,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 88116 26070,188116.0,726070.0,https://canmore.org.uk/site/22910/,cairn
22911,KILMORE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 88182 25336,188182.0,725336.0,https://canmore.org.uk/site/22911/,cairn
22915,KILMORE,"CAIRN (LATER PREHISTORIC)(POSSIBLE), CLEARANCE CAIRN (POST MEDIEVAL)(POSSIBLE)",ARGYLL,NM 87943 26874,187943.0,726874.0,https://canmore.org.uk/site/22915/,cairn
23194,STRONTOILLER,CAIRN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 90732 29075,190732.0,729075.0,https://canmore.org.uk/site/23194/,cairn
23195,GLENAMACHRIE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 92128 28702,192128.0,728702.0,https://canmore.org.uk/site/23195/,cairn
23197,GLENAMACHRIE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 92456 28549,192456.0,728549.0,https://canmore.org.uk/site/23197/,cairn
23198,STRONTOILLER,HUT CIRCLE (PREHISTORIC)(POSSIBLE),ARGYLL,NM 908 293,190800.0,729300.0,https://canmore.org.uk/site/23198/,roundhouse
23200,"CLACHADOW, GLEN LONAN",HUT CIRCLE(S) (PREHISTORIC),ARGYLL,NM 944 278,194400.0,727800.0,https://canmore.org.uk/site/23200/,roundhouse
23205,STRONTOILLER,KERB CAIRN (LATER PREHISTORIC),ARGYLL,NM 90778 28950,190778.0,728950.0,https://canmore.org.uk/site/23205/,cairn
23209,DALNACABEG,CAIRN (BRONZE AGE),ARGYLL,NM 90006 24295,190006.0,724295.0,https://canmore.org.uk/site/23209/,cairn
23211,ALLLT EAS NA H-AIRIGH,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 904 233,190400.0,723300.0,https://canmore.org.uk/site/23211/,shieling
